le	ἀγαθοουργία		DELETE
no	ἀγαθοουργι	h_hs fem	DELETE
le	ἀδικία
no	ἀ-δῐκι	h_hs fem stem_acc
le	ἀδυναμία
no	ἀ-δῠνᾰμι	h_hs fem stem_acc
le	ἀνεμοφθορία	CHANGE added a ν
no	ἀνεμοφθορι	h_hs fem	DITTO ἀνεμο-
le	ἀηθία		lemmatize as ἀήθεια
no	ἀηθι	h_hs fem
le	ἀθεία		need diaeresis ἀθεΐα
no	ἀθει	h_hs fem
le	ἀθλοθεσία
no	ἀθλοθεσι	h_hs fem
**le	ἀθλοθετία		DELETE this lemma add to previous
no	ἀθλοθετι	h_hs fem
**le	ἀθλονικία		DELETE, see under ἀεθλο..
**no	ἀεθλο-νικι	h_hs fem stem_acc poetic
le	αἰγυπτία
no	αἰγυπτι	h_hs fem
le	ἀϊδρείη
no	ἀ-ϊδρει	h_hs fem stem_acc
no	"ἀ-ϊδρι	h_hs fem	stem_acc"
le	Ἀιδωναία		add diaeresis Ἀϊδωναία
no	Ἀιδωναι	h_hs fem
le	αἰθρία
no	"αἰθρι	h_hs	stem_acc	fem"
le	αἱλιφθορία		DELETE data entry issue
no	αἱλιφθορι	h_hs fem	DELETE
le	αἱμακουρία
no	αἱμακουρι	h_hs stem_acc fem
no	αἱμοκουρι	h_hs stem_acc fem
le	αἱμακουρία		DELETE (see above)
no	αἱμα-κουρι	h_hs fem stem_acc	DELETE
le	αἰωρία		NOT found DELETE
no	αἰωρι	h_hs fem
le	ἀκρατοποσία		QUOTE marks again?
no	"ἀκρᾱτο-ποσι	h_hs	stem_acc	fem"
no	ἀκρητο-ποσι	h_hs stem_acc fem  ionic
le	ἀκραχολία
no	ἀκρᾱ-χολι	h_hs fem stem_acc
**no	ἀκρη-χολι	h_hs fem stem_acc ionic	Need to add this?
no	ἀκρο-χολι	h_hs fem stem_acc
le	Ἀκυληία			add diaeresis
no	Ἀκυληι	h_hs fem geog_name
le	ἀκυροωσία		DELETE
no	ἀκυροωσι	h_hs fem	DELETE
le	ἀκυρωσία		ADD
no	ἀκυρωσι	h_hs fem	ADD
le	ἁλιεία
